,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
31,Hunter Renfrow,LV,WR,1.0,5.8,0.0,84.9,907.5,6.3,0.5,0.0,0.0,0,0.0,0.0
32,Amari Cooper,CLE,WR,0.0,0.0,0.0,75.7,944.3,5.6,0.3,0.0,0.0,0,0.0,0.0
33,Allen Robinson II,LAR,WR,0.0,0.0,0.0,75.2,901.0,6.1,0.2,0.0,0.0,0,0.0,0.0
34,JuJu Smith-Schuster,KC,WR,1.6,9.4,0.1,76.9,843.3,6.9,0.3,0.0,0.0,0,0.0,0.0
35,Adam Thielen,MIN,WR,0.0,0.0,0.0,73.3,838.8,7.2,0.3,0.0,0.0,0,0.0,0.0
36,Robert Woods,TEN,WR,5.6,36.5,0.3,73.9,893.5,5.0,0.2,0.0,0.0,0,0.0,0.0
37,Rashod Bateman,BAL,WR,0.2,2.8,0.0,73.5,909.2,5.2,0.3,0.0,0.0,0,0.0,0.0
38,Christian Kirk,JAC,WR,0.5,2.8,0.0,72.9,901.0,4.7,0.2,0.0,0.0,0,0.0,0.0
39,Brandon Aiyuk,SF,WR,2.3,15.6,0.0,62.1,832.3,5.6,0.3,0.0,0.0,0,0.0,0.0
40,DeVonta Smith,PHI,WR,0.0,0.0,0.0,63.1,855.7,5.4,0.2,0.0,0.0,0,0.0,0.0
41,Chase Claypool,PIT,WR,7.0,44.6,0.3,63.3,837.8,4.7,0.3,0.0,0.0,0,0.0,0.0
42,Drake London,ATL,WR,0.3,2.3,0.0,67.8,871.8,4.9,0.2,0.0,0.0,0,0.0,0.0
43,Allen Lazard,GB,WR,1.0,6.7,0.0,57.7,776.2,6.2,0.2,0.0,0.0,0,0.0,0.0
44,Treylon Burks,TEN,WR,4.3,28.3,0.3,56.5,795.9,4.9,0.2,0.0,0.0,0,0.0,0.0
45,DeAndre Hopkins,ARI,WR,0.0,0.0,0.0,62.4,784.1,5.3,0.4,0.0,0.0,0,0.0,0.0
46,Mecole Hardman,KC,WR,8.0,55.0,0.3,57.8,729.8,4.9,0.5,0.0,0.0,0,0.0,0.0
47,Marquez Valdes-Scantling,KC,WR,0.4,2.7,0.0,47.4,770.4,5.1,0.1,0.0,0.0,0,0.0,0.0
48,Kadarius Toney,NYG,WR,7.0,48.3,0.2,64.0,752.9,4.3,0.3,0.0,0.0,0,0.0,0.0
